"Id","organizationname","departmentname","jobname"
1220,Peterborough Regional Health Center,LAB CYTOPATHOLOGY,"P/T MLT, CYTOLOGY"
1221,Peterborough Regional Health Center,LAB CYTOPATHOLOGY,"P/T TECHN3, CYTOLOGY"
1222,Peterborough Regional Health Center,LAB PRE POST ANALYSIS,"F/T SR.TECHN3, SPEC.PROCUREMENT"
1223,Peterborough Regional Health Center,LAB PRE POST ANALYSIS,"F/T TECHN3, SPECIMEN PROCURMNT"
1224,Peterborough Regional Health Center,LAB PRE POST ANALYSIS,"P/T TECHN3, SPECIMEN PROCURMNT"
1225,Peterborough Regional Health Center,LAB TRANSFUSION MEDICINE,"F/T CHG.TECHL, IMMUNOHAEMATOLGY"
1226,Peterborough Regional Health Center,LAB TRANSFUSION MEDICINE,"F/T MLT, IMMUNOHAEMATOLOGY"
1227,Peterborough Regional Health Center,LAB TRANSFUSION MEDICINE,"F/T SR MLT(POC), CLIN.CHEMISTRY"
2026,Scarborough Health Network,"4 CENTRAL MEDICINE",UNIT CLERK 4
2027,Scarborough Health Network,"4B FLEX",UNIT CLERK 4
2028,Scarborough Health Network,"4E HEMODIALYSIS",UNIT CLERK II
2029,Scarborough Health Network,BIR ICU TEAM BASED MODEL,REGISTERED NURSE
2030,Scarborough Health Network,BR 3A SURGERY,NURSE EXTERN
2031,Scarborough Health Network,BR 3A SURGERY,REGISTERED NURSE
2032,Scarborough Health Network,BR 3A SURGERY,REGISTERED PRACTICAL NURSE
2033,Scarborough Health Network,BR 3A SURGERY,UNIT CLERK II
2034,Scarborough Health Network,BR 3D MEDICINE,NURSE EXTERN
2035,Scarborough Health Network,BR 3D MEDICINE,REGISTERED PRACTICAL NURSE
2036,Scarborough Health Network,BR 3D MEDICINE,UNIT CLERK II
2044,Scarborough Health Network,BR 4D MEDICINE,UNIT CLERK 4
2055,Scarborough Health Network,BR NFS CLINICAL NUTRITION,DIETITIAN
2066,Scarborough Health Network,C 3MBW CCC,PERSONAL SUPPORT WORKER
2077,Scarborough Health Network,C 8E SURGE UNIT,REGISTERED PRACTICAL NURSE
2088,Scarborough Health Network,C CARDIAC CARE NETWORK,SECRETARY III
2099,Scarborough Health Network,C DIABETES CLINIC -PEADS,DIETITIAN
2110,Scarborough Health Network,C NEONATAL ICU,UNIT COORDINATOR
2121,Scarborough Health Network,C SRT - CRIT.CARE,REGISTERED NURSE
2132,Scarborough Health Network,CP4 MEDICINE,REGISTERED NURSE
2143,Scarborough Health Network,DIVISION OF CRITICAL CARE,"MANAGER, CRITICAL CARE"
2153,Scarborough Health Network,INTEGRATED STROKE UNIT-ACUTE,REGISTERED NURSE - CENTENARY
2154,Scarborough Health Network,INTEGRATED STROKE UNIT-ACUTE,UNIT CLERK II
2155,Scarborough Health Network,IV TEAM,REGISTERED NURSE
2156,Scarborough Health Network,NEW GRADS GUARANTEETRAINING,REGISTERED NURSE
2157,Scarborough Health Network,NFS CLINICAL NUTRITION DIABETES,DIETITIAN
2158,Scarborough Health Network,NFS CLINICAL NUTRITION HEMO,DIETITIAN
2159,Scarborough Health Network,NFS CLINICAL NUTRITION,DIETITIAN
2160,Scarborough Health Network,NFS PATIENT FOOD SERVICES,DIETARY HELPER GENERAL
2161,Scarborough Health Network,NFS PATIENT FOOD SERVICES,DIETARY TECHNICIAN
2162,Scarborough Health Network,NFS PATIENT FOOD SERVICES,"MANAGER, NUTRITION & FOOD SERVICES"
2163,Scarborough Health Network,NFS PATIENT FOOD SERVICES,MENU CLERK 4
2164,Scarborough Health Network,NFS PATIENT FOOD SERVICES,"SUPERVISOR, NUTRITION & FOOD SERVICES"
2165,Scarborough Health Network,NICU RN FLOAT,REGISTERED NURSE
2166,Scarborough Health Network,NURSING RESOURCE TEAM,NURSE EXTERN
2167,Scarborough Health Network,NURSING RESOURCE TEAM,REGISTERED NURSE
2168,Scarborough Health Network,NURSING RESOURCE TEAM,REGISTERED NURSE WEEKEND WORKER
2169,Scarborough Health Network,NURSING RESOURCE TEAM,REGISTERED PRACTICAL NURSE
2170,Scarborough Health Network,PATIENT SAFETY,"MANAGER, PATIENT SAFETY"
2171,Scarborough Health Network,PATIENT SAFETY,"MANAGER, PATIENT SAFETY & INTEGRATED RISK MGMT"
2172,Scarborough Health Network,PATIENT SAFETY,"MANAGER, QUALITY IMPROVEMENT"
2173,Scarborough Health Network,PATIENT SAFETY,PATIENT SAFETY LEADER
2174,Scarborough Health Network,PATIENT SAFETY,QUALITY AND PATIENT SAFETY LEADER
2175,Scarborough Health Network,PROFESSIONAL PRACTICE,CLINICAL NURSE SPECIALIST
2176,Scarborough Health Network,PROFESSIONAL PRACTICE,CLINICAL PRACTICE LEADER
2177,Scarborough Health Network,PROFESSIONAL PRACTICE,CLINICAL RESOURCE LEADER
2178,Scarborough Health Network,PROFESSIONAL PRACTICE,"DIRECTOR, PROF PRACTICE & ALLIED HEALTH"
2179,Scarborough Health Network,PROFESSIONAL PRACTICE,PROFESSIONAL PRACTICE LEADER
2180,Scarborough Health Network,PT FLOW COM LIAISON NRT,"MANAGER, NURSING RESOURCE TEAM"
2181,Scarborough Health Network,RISK MANAGEMENT,"DIRECTOR, PATIENT SAFETY, PRIVACY & RISK MGMT"
2182,Scarborough Health Network,RISK MANAGEMENT,"DIRECTOR, PRIVACY & RISK MANAGEMENT"
2183,Scarborough Health Network,RISK MANAGEMENT,ENTERPRISE RISK MANAGEMENT COORDINATOR
2184,Scarborough Health Network,RISK MANAGEMENT,"MANAGER, PATIENT SAFETY & INTEGRATED RISK MGMT"
2185,Scarborough Health Network,SHN C 5W SURGERY REHAB,REGISTERED NURSE
2186,Scarborough Health Network,SHN C 5W SURGERY REHAB,REGISTERED PRACTICAL NURSE
2187,Scarborough Health Network,SOCIAL WORK HEMO DIALYSIS,SOCIAL WORKER - M.S.W.
2188,Scarborough Health Network,SOCIAL WORK,SOCIAL WORKER - M.S.W.
2189,Scarborough Health Network,SPIRITUAL & RELIGIOUS CARE,"MANAGER, SPIRITUAL & RELIGIOUS CARE"
2190,Scarborough Health Network,SPIRITUAL & RELIGIOUS CARE,SPIRITUAL CARE PRACTITIONER
2191,Scarborough Health Network,TOWER 4 PAEDIATRICS,CLERK 5
2192,Scarborough Health Network,TOWER 4 PAEDIATRICS,REGISTERED NURSE
2193,Scarborough Health Network,TOWER 4 PAEDIATRICS,UNIT CLERK II
2194,Scarborough Health Network,TOWER 6 - PCU,PATIENT CARE COORDINATOR
2195,Scarborough Health Network,TOWER 6 - PCU,"PATIENT CARE MANAGER, TOWER 6-PCU"
2196,Scarborough Health Network,TOWER 6 - PCU,REGISTERED NURSE
2197,Scarborough Health Network,TOWER 6 - PCU,REGISTERED PRACTICAL NURSE
2198,Scarborough Health Network,TOWER 6 - PCU,UNIT CLERK 4
2199,Scarborough Health Network,TOWER 6 - PCU,UNIT COORDINATOR
2200,Scarborough Health Network,TOWER 7 TCU MEDICINE,"MANAGER, MEDICINE"
1297,Peterborough Regional Health Center,IP MEDICAL A4,"P/T CLK.4, A4 TELEMETRY"
1298,Peterborough Regional Health Center,IP MEDICAL A4,"P/T R.N., A4 TELEMETRY"
1299,Peterborough Regional Health Center,IP MEDICAL A4,"P/T R.P.N., A4 TELEMETRY"
1300,Peterborough Regional Health Center,IP MEDICAL B3/C3 COMBINED,"F/T CLK.GEN.3, IP MEDICAL B3/C3"
1301,Peterborough Regional Health Center,IP MEDICAL B3/C3 COMBINED,"F/T CLK.GEN.4, IP MEDICAL B3/C3"
1302,Peterborough Regional Health Center,IP MEDICAL B3/C3 COMBINED,F/T MGR IP MEDICAL B3/C3
1303,Peterborough Regional Health Center,IP MEDICAL B3/C3 COMBINED,"F/T NON-R.P.N., IP MEDICAL B3/C3"
1305,Peterborough Regional Health Center,IP MEDICAL B3/C3 COMBINED,"F/T R.P.N., IP MEDICAL B3/C3"
1306,Peterborough Regional Health Center,IP MEDICAL B3/C3 COMBINED,"P/T NON-R.P.N.,  B3/C3"
1307,Peterborough Regional Health Center,IP MEDICAL B3/C3 COMBINED,"P/T R.N., IP MEDICAL B3/C3"
1308,Peterborough Regional Health Center,IP MEDICAL B3/C3 COMBINED,"P/T R.P.N., IP MEDICAL B3/C3"
1309,Peterborough Regional Health Center,IP MEDICAL B4,"DIRECTOR, MEDICINE, OHT, SR.HEALT"
1310,Peterborough Regional Health Center,IP MEDICAL B4,"F/T CLK.4, IP MED NEPHR B4"
1311,Peterborough Regional Health Center,IP MEDICAL B4,"F/T R.N., IP MED NEPHR B4"
1312,Peterborough Regional Health Center,IP MEDICAL B4,"F/T R.P.N., IP MED NEPHR B4"
1313,Peterborough Regional Health Center,IP MEDICAL B4,"FT CLERK 3, IP MED NEPHR B4"
1314,Peterborough Regional Health Center,IP MEDICAL B4,"MANAGER, B4 IPMED, SLP"
1316,Peterborough Regional Health Center,IP MEDICAL B4,"P/T CLK.4, IP MED NEPHR B4"
1317,Peterborough Regional Health Center,IP MEDICAL B4,"P/T NON-R.P.N., IP MED NEPHR B4"
1318,Peterborough Regional Health Center,IP MEDICAL B4,"P/T R.N., IP MED NEPHR B4"
1319,Peterborough Regional Health Center,IP MEDICAL B4,"P/T R.P.N., IP MED NEPHR B4"
1320,Peterborough Regional Health Center,IP MEDICAL B4,"PT CLERK 3, IP MED NEPHR B4"
1321,Peterborough Regional Health Center,IP MEDICAL B6,"F/T MGR, B6 IPMED & SOCAL WORK"
1322,Peterborough Regional Health Center,IP MEDICAL B6,"F/T R.N., B6"
1323,Peterborough Regional Health Center,IP MEDICAL B6,"F/T R.P.N., B6"
1324,Peterborough Regional Health Center,IP MEDICAL B6,"F/T RC4 CLERK 3, IP MED B6"
1325,Peterborough Regional Health Center,IP MEDICAL B6,"P/T CLK.3, B6"
1327,Peterborough Regional Health Center,IP MEDICAL B6,"P/T R.N., B6"
1328,Peterborough Regional Health Center,IP MEDICAL B6,"P/T R.P.N., B6"
1329,Peterborough Regional Health Center,IP MEDICAL D2,"F/T CLERK 4, D2 PALLIATIVE"
1330,Peterborough Regional Health Center,IP MEDICAL D2,"F/T MGR, D2 PALLIATIVE, C2 CCC"
1331,Peterborough Regional Health Center,IP MEDICAL D2,"F/T R.N., D2 PALLIATIVE"
1332,Peterborough Regional Health Center,IP MEDICAL D2,"F/T R.P.N., D2 PALLIATIVE"
1333,Peterborough Regional Health Center,IP MEDICAL D2,P/T CLERK 3 D2 PALLIATIVE
1334,Peterborough Regional Health Center,IP MEDICAL D2,P/T P/T RC4 CLK3 D2 PALLIATIVE
1335,Peterborough Regional Health Center,IP MEDICAL D2,"P/T R.N., D2 PALLIATIVE"
1336,Peterborough Regional Health Center,IP MEDICAL D2,"P/T R.P.N., D2 PALLIATIVE"
1338,Peterborough Regional Health Center,IP MEDICAL NURSING POOL,"F/T R.P.N., I.P.MED.NRSG"
1339,Peterborough Regional Health Center,IP MEDICAL NURSING POOL,"P/T R.N., I.P.MED.NRSG.POOL"
1340,Peterborough Regional Health Center,IP MEDICAL NURSING POOL,"P/T R.P.N., I.P.MED.NRSG"
1341,Peterborough Regional Health Center,IP OBS NICU,"F/T R.N., W6 SCN"
1342,Peterborough Regional Health Center,IP OBS NICU,"P/T R.N., W6 SCN"
1343,Peterborough Regional Health Center,IP REHABILITATION COMBINED,"F/T CLERK 4, A2 REHAB IP"
1344,Peterborough Regional Health Center,IP REHABILITATION COMBINED,"F/T R.N., A2 REHAB IP"
1345,Peterborough Regional Health Center,IP REHABILITATION COMBINED,"F/T R.P.N., A2 REHAB IP"
1346,Peterborough Regional Health Center,IP REHABILITATION COMBINED,"MANAGER, A2/B2 INT.STROKE"
1347,Peterborough Regional Health Center,IP REHABILITATION COMBINED,"P/T NON R.N., A2B2"
1349,Peterborough Regional Health Center,IP REHABILITATION COMBINED,"P/T R.N., A2 REHAB IP"
1350,Peterborough Regional Health Center,IP REHABILITATION COMBINED,"P/T R.P.N., A2 REHAB IP"
1351,Peterborough Regional Health Center,IP SURGICAL B5,"F/T CLK.4, B5 SURGICAL IP"
1352,Peterborough Regional Health Center,IP SURGICAL B5,"F/T R.N., B5 SURGICAL IP"
1353,Peterborough Regional Health Center,IP SURGICAL B5,"F/T R.P.N., B5 SUGICAL IP"
1354,Peterborough Regional Health Center,IP SURGICAL B5,"MANAGER, B5/SCC SURG.IP & MOP"
1355,Peterborough Regional Health Center,IP SURGICAL B5,"P/T AIDE/ATTD., IP SURG B5"
1356,Peterborough Regional Health Center,IP SURGICAL B5,"P/T NON-R.N., B5 SURGICAL IP"
1357,Peterborough Regional Health Center,IP SURGICAL B5,"P/T R.N., B5 SURGICAL IP"
1358,Peterborough Regional Health Center,IP SURGICAL B5,"P/T R.P.N., B5 SURGICAL IP"
1360,Peterborough Regional Health Center,IP SURGICAL ORTHOPEDIC A5,"F/T R.N., A5 ORTHO IP"
1361,Peterborough Regional Health Center,IP SURGICAL ORTHOPEDIC A5,"F/T R.P.N., A5 ORTHO IP"
1362,Peterborough Regional Health Center,IP SURGICAL ORTHOPEDIC A5,"MANAGER, IP SURGERY"
1363,Peterborough Regional Health Center,IP SURGICAL ORTHOPEDIC A5,"P/T CLERK 3, A5"
1364,Peterborough Regional Health Center,IP SURGICAL ORTHOPEDIC A5,"P/T NON R.P.N, A5 ORTHO IP"
1365,Peterborough Regional Health Center,IP SURGICAL ORTHOPEDIC A5,"P/T NON-R.N., A5 ORTHO IP"
1366,Peterborough Regional Health Center,IP SURGICAL ORTHOPEDIC A5,"P/T R.N., A5 ORTHO IP"
1367,Peterborough Regional Health Center,IP SURGICAL ORTHOPEDIC A5,"P/T R.P.N., A5 ORTHO IP"
1368,Peterborough Regional Health Center,IP SURGICAL ORTHOPEDIC A5,P/T RC4 CLK3 A5 ORTHO IP
1369,Peterborough Regional Health Center,RS PULMONARY FUNCTN LABORATORY,"F/T R.R.T., PULMONARY FUNCTION"
1371,Peterborough Regional Health Center,TH NUTRITION,F/T COORDINATOR CLIN.NUTRITION
1372,Peterborough Regional Health Center,TH NUTRITION,"F/T DIET.TECH., CLIN.NUTRITION"
1373,Peterborough Regional Health Center,TH NUTRITION,"F/T DIETITIAN, CLIN.NUTRITION"
1374,Peterborough Regional Health Center,TH NUTRITION,"P/T DIET.TECH., CLIN.NUTRITION"
1375,Peterborough Regional Health Center,TH NUTRITION,"P/T DIETITIAN, CLIN.NUTRITION"
1376,Peterborough Regional Health Center,TH OCCUPATIONAL THERAPY,"F/T O.T., OCCUP. THERAPY"
1377,Peterborough Regional Health Center,TH OCCUPATIONAL THERAPY,F/T REHABILITATION ASSISTANT
1378,Peterborough Regional Health Center,TH OCCUPATIONAL THERAPY,"P/T O.T., OCCUP.THERAPY"
1379,Peterborough Regional Health Center,TH OCCUPATIONAL THERAPY,"P/T REHAB.ASSTL, OCC.THERAPY"
1380,Peterborough Regional Health Center,TH PASTORAL CARE,"F/T CHAPLAIN, PASTORAL CARE"
1382,Peterborough Regional Health Center,TH PHYSIOTHERAPY,"F/T KINESIOLOGIST, CARDIAC RHB"
1383,Peterborough Regional Health Center,TH PHYSIOTHERAPY,"F/T PHYSIOTHERAPIST LEADER, IP"
1384,Peterborough Regional Health Center,TH PHYSIOTHERAPY,"F/T PHYSIOTHERAPIST, PHYSIO IP"
1385,Peterborough Regional Health Center,TH PHYSIOTHERAPY,"F/T RC4 CLK3, TH PHYSIOTHERAPY"
1386,Peterborough Regional Health Center,TH PHYSIOTHERAPY,"P/T KINESIOLOGIST, PHYSIO IP"
1387,Peterborough Regional Health Center,TH PHYSIOTHERAPY,"P/T PHYSIOTHERAPIST, PHYSIO IP"
1388,Peterborough Regional Health Center,TH PHYSIOTHERAPY,"P/T RC4 CLK3, TH PHYSIOTHERAPY"
1389,Peterborough Regional Health Center,TH SOCIAL WORK,"P/T MSW, SOCIAL WORK"
1390,Peterborough Regional Health Center,TH SPEECH LANGUAGE PATHOLOGY,"F/T SP.LANG.PATH MST.LVL, SPEE"
1391,Peterborough Regional Health Center,TH THERAPEUTIC RECREATION,"F/T RECREATIONIST, C2 CCC"
1393,Peterborough Regional Health Center,AS DECISION SUPPORT,DIRECTOR DSU AND HEALTH INFO
1394,Peterborough Regional Health Center,AS DECISION SUPPORT,F/T DECISION SUPP. PROGRAMMER
1395,Peterborough Regional Health Center,AS DECISION SUPPORT,F/T PROGRAMMER DECISION SUPPRT
1396,Peterborough Regional Health Center,AS DECISION SUPPORT,"F/T PROJECT COORD, DSU"
1397,Peterborough Regional Health Center,AS DECISION SUPPORT,"F/T PSP, PDST"
1398,Peterborough Regional Health Center,AS DECISION SUPPORT,"F/T SUPPORT ASSOCIATE, DEC SUP"
1399,Peterborough Regional Health Center,AS DECISION SUPPORT,"P/T STUDENT, DECISION SUPPORT"
1400,Peterborough Regional Health Center,MI CARDIAC CATH INTERVENTIONAL,"P/T AIDE/ATTD., CARD.CATH.LAB"
1401,Peterborough Regional Health Center,MI CARDIAC CATH INTERVENTIONAL,F/T ADV PRCT RN CATH LAB PCI
1402,Peterborough Regional Health Center,MI CARDIAC CATH INTERVENTIONAL,"F/T CLERK 3, CATH LAB"
1404,Peterborough Regional Health Center,MI CARDIAC CATH INTERVENTIONAL,"F/T R.N., CARD.CATH.LAB."
1405,Peterborough Regional Health Center,MI CARDIAC CATH INTERVENTIONAL,F/T R.N.COORD.CARD.CATH.LAB
1406,Peterborough Regional Health Center,MI CARDIAC CATH INTERVENTIONAL,"P/T CLERK 3, CATH LAB"
1407,Peterborough Regional Health Center,MI CARDIAC CATH INTERVENTIONAL,"P/T CLK.4, CARD.CATH.LAB"
1408,Peterborough Regional Health Center,MI CARDIAC CATH INTERVENTIONAL,"P/T R.N., CARD.CATH.LAB. LAB"
1409,Peterborough Regional Health Center,AS ADMISSION DISCHARGE COORD,"F/T SPVR., PAT.FLOW & ACCESS"
1410,Peterborough Regional Health Center,AS ADMISSION DISCHARGE COORD,"P/T SPVR., PAT.FLOW & ACCESS"
1411,Peterborough Regional Health Center,AS HOUSEKEEPING WASTE DISPOSAL,"F/T WASTE ATTD., WASTE MGMT."
1412,Peterborough Regional Health Center,AS HOUSEKEEPING WASTE DISPOSAL,P/T WASTE ATTENDANT
2201,Scarborough Health Network,TOWER 7 TCU MEDICINE,"MANAGER, MEDICINE, TRANSITIONAL CARE & SR'S HEALTH"
2202,Scarborough Health Network,TOWER 7 TCU MEDICINE,"MANAGER, SENIOR'S HEALTH"
2203,Scarborough Health Network,TOWER 7 TCU MEDICINE,NURSE EXTERN
2204,Scarborough Health Network,TOWER 7 TCU MEDICINE,OCCUPATIONAL THERAPIST
2205,Scarborough Health Network,TOWER 7 TCU MEDICINE,PERSONAL SUPPORT WORKER
2206,Scarborough Health Network,TOWER 7 TCU MEDICINE,PHYSIOTHERAPIST
2207,Scarborough Health Network,TOWER 7 TCU MEDICINE,REGISTERED NURSE
2208,Scarborough Health Network,TOWER 7 TCU MEDICINE,REGISTERED NURSE - CENTENARY
2209,Scarborough Health Network,TOWER 7 TCU MEDICINE,REGISTERED PRACTICAL NURSE
2210,Scarborough Health Network,TOWER 7 TCU MEDICINE,SOCIAL WORKER - M.S.W.
2211,Scarborough Health Network,TOWER 7 TCU MEDICINE,UNIT CLERK 4
2212,Scarborough Health Network,TOWER 7 TCU MEDICINE,UNIT CLERK II
2213,Scarborough Health Network,TOWER 7 TCU MEDICINE,UNIT COORDINATOR
2214,Scarborough Health Network,TOWER 9 CARDIOLOGY,REGISTERED PRACTICAL NURSE
2215,Scarborough Health Network,TOWER 9 CARDIOLOGY,SECRETARY III
2216,Scarborough Health Network,DECISION SUPPORT & PERFORMANCE MNGT,"DIRECTOR, INFORMATION MANAGEMENT"
2217,Scarborough Health Network,PERFORMANCE & DECISION SUPPORT,"ANALYST, ENTERPRISE ANALYTICS"
2218,Scarborough Health Network,PERFORMANCE & DECISION SUPPORT,"BUSINESS INTELLIGENCE DEVELOPER, ENTERPRISE ANALYTICS"
2219,Scarborough Health Network,PERFORMANCE & DECISION SUPPORT,DECISION SUPPORT SPECIALIST
2220,Scarborough Health Network,PERFORMANCE & DECISION SUPPORT,"DIRECTOR, ENTERPRISE ANALYTICS"
2221,Scarborough Health Network,PERFORMANCE & DECISION SUPPORT,"LEAD, ENTERPRISE ANALYTICS"
2229,Scarborough Health Network,C ARRHYTHMIA CLINIC,SECRETARY III
2240,Scarborough Health Network,C CARDIAC STRESS,CHARGE CARDIAC TECHNICIAN
2251,Scarborough Health Network,ANGIOGRAPHY / INTERVENTIONAL,TEAM ATTENDANT
2262,Scarborough Health Network,C RES CENTRE - SUPPORT SERV,"SUPERVISOR, SUPPORT SERVICES"
2273,Scarborough Health Network,SAME DAY SURGERY,PERSONAL SUPPORT WORKER
2284,Scarborough Health Network,FINANCE (GENERAL ACCOUNTING),SENIOR FINANCIAL SPECIALIST
2295,Scarborough Health Network,HEALTH RECORDS PROCESSING,HEALTH RECORDS CLERK 5
2306,Scarborough Health Network,BR 3B PSYCH BIRCHMOUNT,NURSE EXTERN
2317,Scarborough Health Network,C INPATIENT MED-PSYCH UNIT,REGISTERED PRACTICAL NURSE
2328,Scarborough Health Network,C PSYCHIATRITSH C EMERG,"REGISTERED NURSE, CRISIS WORKER"
2338,Scarborough Health Network,C SP VOTES-CRISIS INTE,CHILD & YOUTH (INTAKE) WORKER
2339,Scarborough Health Network,C SP VOTES-CRISIS INTE,OCCUPATIONAL THERAPIST
2340,Scarborough Health Network,C SP VOTES-CRISIS INTE,REGISTERED NURSE
2341,Scarborough Health Network,C SP VOTES-CRISIS INTE,SECRETARY III
2342,Scarborough Health Network,C SP VOTES-CRISIS INTE,SOCIAL WORKER - M.S.W.
2343,Scarborough Health Network,DIVISION OF MENTAL HEALTH,ADMINISTRATIVE ASSISTANT
2344,Scarborough Health Network,DIVISION OF MENTAL HEALTH,"MANAGER, MENTAL HEALTH"
2345,Scarborough Health Network,MENTAL HEALTH OUTPATIENT,CHILD & YOUTH (INTAKE) WORKER
2346,Scarborough Health Network,MENTAL HEALTH OUTPATIENT,MENTAL HEALTH THERAPIST
2347,Scarborough Health Network,MENTAL HEALTH OUTPATIENT,REGISTERED NURSE
2348,Scarborough Health Network,MENTAL HEALTH OUTPATIENT,SECRETARY II
2349,Scarborough Health Network,MENTAL HEALTH OUTPATIENT,SOCIAL WORKER - M.S.W.
2350,Scarborough Health Network,MENTAL HEALTH OUTPATIENT,STUDENT
2351,Scarborough Health Network,MH - ACTT PROGRAM,CASE MANAGER - A
2352,Scarborough Health Network,MH - ACTT PROGRAM,CASE MANAGER II
2353,Scarborough Health Network,MH - ACTT PROGRAM,PEER SUPPORT WORKER (ACTT)
2354,Scarborough Health Network,MH - ACTT PROGRAM,REGISTERED NURSE
2355,Scarborough Health Network,MH - ACTT PROGRAM,REGISTERED PRACTICAL NURSE
2356,Scarborough Health Network,MH - ACTT PROGRAM,SECRETARY II
2357,Scarborough Health Network,MH - ACTT PROGRAM,SOCIAL WORKER - M.S.W.
2358,Scarborough Health Network,MH - CASE MANAGEMENT,CASE MANAGER - A
2359,Scarborough Health Network,MH - CHILD & FAMILY,CHILD & YOUTH (INTAKE) WORKER
2360,Scarborough Health Network,MH - CHILD & FAMILY,SOCIAL WORKER - M.S.W.
2361,Scarborough Health Network,MH - JUSTICE & MENTAL HEALTH PROGRAM,REGISTERED NURSE
2362,Scarborough Health Network,MH - JUSTICE & MENTAL HEALTH PROGRAM,SOCIAL WORKER - M.S.W.
2363,Scarborough Health Network,MH - MOBILE CRISIS,"CASE MANAGER, CRISIS"
2364,Scarborough Health Network,MH - MOBILE CRISIS,MENTAL HEALTH THERAPIST
2365,Scarborough Health Network,MH - MOBILE CRISIS,REGISTERED NURSE
2366,Scarborough Health Network,MH - MOBILE CRISIS,REGISTERED PRACTICAL NURSE
2367,Scarborough Health Network,MH - MOBILE CRISIS,SECRETARY II
2368,Scarborough Health Network,C DAY SURGERY UNIT,REGISTERED PRACTICAL NURSE
2369,Scarborough Health Network,C DIGESTIVE DISEASE UNIT,REGISTERED PRACTICAL NURSE
2370,Scarborough Health Network,DIVISION MANAGEMENT SURGERY,"MANAGER, SURGERY & AMBULATORY CARE"
2371,Scarborough Health Network,BR ENDOSCOPY,REGISTERED NURSE
2372,Scarborough Health Network,C DIGESTIVE DISEASE UNIT,REGISTERED NURSE
2373,Scarborough Health Network,ENDOSCOPY,REGISTERED NURSE
2374,Scarborough Health Network,BR OR BOOKING,BOOKING CLERK OR
2375,Scarborough Health Network,BR POST ANAESTHETIC CARE UNIT,REGISTERED NURSE
1482,Peterborough Regional Health Center,IP MH D1,"F/T R.N., D1 MHS IP"
1483,Peterborough Regional Health Center,IP MH D1,"F/T R.P.N., D1 MHS IP"
1484,Peterborough Regional Health Center,IP MH D1,"P/T MSW, IP MH CHILD ADOLESCE."
1485,Peterborough Regional Health Center,IP MH D1,"P/T R.P.N., D1 MHS IP"
1486,Peterborough Regional Health Center,IP MH PSYCHIATRIC CRISIS,"F/T R.N., MH PSYCH.CRISIS UNIT"
1487,Peterborough Regional Health Center,OV COM MH CHILD ADOLESCENT MCY,"F/T MSW, FYC"
1488,Peterborough Regional Health Center,OV COM MH CHILD ADOLESCENT MCY,"F/T PSYCHOLOGIST, FYC"
1490,Peterborough Regional Health Center,OV COM MH EARLY INTERVENTION,"F/T COMM.OUTREACH WRKR., EPI"
1491,Peterborough Regional Health Center,OV COM MH EARLY INTERVENTION,"F/T MSW, E.P.I. CMHA"
1492,Peterborough Regional Health Center,OV COM MH EATING DISORDERS,"F/T NURSE PRACTIONER, EATING D"
1493,Peterborough Regional Health Center,OV COM MH EATING DISORDERS,"P/T DIETITIAN, EATING DISORDER"
1494,Peterborough Regional Health Center,OV COM MH EATING DISORDERS,"P/T NURSE PRACTIONER, EATING DISORDERS"
1495,Peterborough Regional Health Center,OV COM MH EATING DISORDERS,"P/T SOCIAL WORKER, M.S.W."
1496,Peterborough Regional Health Center,OV COM MH OPIOID PREVENTION,F/T NURSE PRACTIONER RAAM
1497,Peterborough Regional Health Center,OV COM MH OPIOID PREVENTION,"P/T R.N., RAAM CLINIC"
1498,Peterborough Regional Health Center,OV COM MH PSYCHOGERIATRIC PASE,"F/T MSW, PASE"
1499,Peterborough Regional Health Center,OV COM MH PSYCHOGERIATRIC PASE,"F/T R.N., PASE"
1501,Peterborough Regional Health Center,OV COM MH SCHIZOPHRENIA,"F/T COMM.OUTR.WRKR., SCHIZ CLI"
1502,Peterborough Regional Health Center,OV COM MH SCHIZOPHRENIA,F/T MSW SCHIZ CLINIC
1503,Peterborough Regional Health Center,OV COM MH SCHIZOPHRENIA,"F/T O.T., SCHIZ CLINIC"
1504,Peterborough Regional Health Center,OV COM MH SCHIZOPHRENIA,"F/T R.N., SCHIZ CLINIC"
1505,Peterborough Regional Health Center,OV COM MH SCHIZOPHRENIA,"P/T COMM.OUTR.WRKR., SCHIZ CLI"
1506,Peterborough Regional Health Center,OV COM MH SCHIZOPHRENIA,"P/T R.N., SCHIZ CLINIC"
1507,Peterborough Regional Health Center,AC DN CARE ENDOSCOPY,"F/T R.N., W5 ENDOSCOPY"
1508,Peterborough Regional Health Center,AC DN CARE ENDOSCOPY,"F/T R.P.N., ENDOSCOPY W5"
1509,Peterborough Regional Health Center,AC DN CARE ENDOSCOPY,"P/T R.N., W5 ENDOSCOPY"
1510,Peterborough Regional Health Center,AC DN CARE ENDOSCOPY,"P/T R.P.N., W5 ENDOSCOPY"
1512,Peterborough Regional Health Center,AS MAT MGMT REPROCESSING SPD,"F/T SUPERVISOR, MDR/OR"
1513,Peterborough Regional Health Center,AS MAT MGMT REPROCESSING SPD,"F/T SURG.SUITE ASST., SPD"
1514,Peterborough Regional Health Center,AS MAT MGMT REPROCESSING SPD,"MANAGER, MED.DEVICE REPROCESSNG"
